[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:15,824 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:16,640 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:16,936 INFO [main][GenericScope.java:294] - BeanFactory id=ce0ae3d0-3d18-3be0-bce5-5462ef49e4ca
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,042 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$734855ef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,394 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,417 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,430 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,431 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,443 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files (x86)\Java\jdk1.8\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Intel\Shared Libraries\redist\intel64_win\compiler;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Git\cmd;C:\Program Files (x86)\nodejs\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;C:\Program Files\MongoDB\Server\5.0\bin;C:\Users\User\Downloads\mongodb-database-tools-windows-x86_64-100.5.2\mongodb-database-tools-windows-x86_64-100.5.2\bin;C:\Program Files\TortoiseSVN\bin;C:\Program Files (x86)\Tencent\??web?????\dll;D:\work\mysql_community_server\mysql-8.0.29-winx64\mysql-8.0.29-winx64\bin;D:\work\java\maven\apache-maven-3.8.6-bin\apache-maven-3.8.6\bin;D:\work\java\apache-tomcat-9.0.64-windows-x64\apache-tomcat-9.0.64\bin;D:\work\java\apache-tomcat-9.0.64-windows-x64\apache-tomcat-9.0.64\lib;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files (x86)\NetSarang\Xshell 7\;C:\Program Files (x86)\Java\jdk1.8\bin;D:\work\java\apache-maven-3.6.0-bin\apache-maven-3.6.0\bin;C:\ProgramData\chocolatey\bin;C:\Program Files\Docker\Docker\resources\bin;D:\redis\;C:\Users\User\AppData\Local\Programs\Python\Python310\Scripts\;C:\Users\User\AppData\Local\Programs\Python\Python310\;D:\work\anaconda;D:\work\anaconda\Library\mingw-w64\bin;D:\work\anaconda\Library\usr\bin;D:\work\anaconda\Library\bin;D:\work\anaconda\Scripts;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\User\AppData\Local\Microsoft\WindowsApps;C:\Users\User\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\User\AppData\Roaming\npm;C:\Users\User\.dotnet\tools;D:\intellij_community\IntelliJ IDEA Community Edition 2022.2.5\bin;;C:\Program Files\PostgreSQL\15\bin;;.]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,540 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,541 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1700 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,703 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,704 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:17,742 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@229d43db
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:18,756 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:18,839 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:18,840 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:19,277 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:19,278 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:19,621 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:19,621 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:19,842 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:20,772 INFO [main][InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:20,851 INFO [main][DiscoveryClient.java:349] - Initializing Eureka in region us-east-1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:20,852 INFO [main][DiscoveryClient.java:352] - Client configured to neither register nor query for data.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:20,894 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1696834400892 with initial instances count: 0
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:20,985 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:20,990 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,514 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,514 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,515 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,515 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,677 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,691 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,692 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,708 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,847 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,867 INFO [Thread-14][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,868 INFO [Thread-14][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,870 INFO [Thread-14][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,882 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,924 INFO [Thread-14][EurekaServerBootstrap.java:184] - isAws returned false
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,925 INFO [Thread-14][EurekaServerBootstrap.java:152] - Initialized server context
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,925 INFO [Thread-14][PeerAwareInstanceRegistryImpl.java:241] - Got 1 instances from neighboring DS node
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,926 INFO [Thread-14][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,926 INFO [Thread-14][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,940 INFO [Thread-14][EurekaServerInitializerConfiguration.java:72] - Started Eureka Server
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,983 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 53000 (http) with context path ''
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,985 INFO [main][EurekaAutoServiceRegistration.java:141] - Updating port to 53000
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:21,988 INFO [main][StartupInfoLogger.java:59] - Started DiscoveryServer in 7.875 seconds (JVM running for 25.706)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:31,931 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:41,947 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 15ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:53:51,957 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 10ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:54:01,971 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 13ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:54:11,971 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:54:21,984 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 12ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:54:31,984 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:54:41,987 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 2ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:54:51,992 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 4ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:55:01,997 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 5ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:55:12,003 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 5ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:55:22,003 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:55:32,006 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 3ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:55:42,016 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:55:52,023 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 7ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:56:02,030 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 7ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:56:12,038 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 8ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:56:22,042 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 3ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:56:32,050 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 8ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:56:42,053 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 2ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:56:52,053 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:57:02,059 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 5ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:57:12,068 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:57:22,075 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 6ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:57:32,077 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:57:42,079 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:57:52,080 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:58:02,082 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:58:12,086 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 4ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:58:22,095 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 8ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:58:32,109 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 13ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:58:42,118 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:58:52,121 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 2ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:59:02,128 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 7ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:59:12,134 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 5ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:59:22,144 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:59:32,148 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 4ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:59:42,149 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2023-10-09 14:59:52,159 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 10ms
